index,KTH Library,South-East Gallery,North Gallery,South Gallery,Ångdomen,Newton,Day of Year,Day of Week,Days Until Exam,Event,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,day,opening_hour,closing_hour,is_open
2025-01-02 20:40:00,,,,,,,2,4,5,Holyday,-4.666666666666666,0.0,15.366666666666667,292.3333333333333,Thursday,10,14,1
2025-01-02 20:50:00,,,,,,,2,4,5,Holyday,-4.683333333333333,0.0,15.433333333333334,293.6666666666667,Thursday,10,14,1
2025-01-02 21:00:00,,,,,,,2,4,5,Holyday,-4.699999999999999,0.0,15.5,295.0,Thursday,10,14,1
2025-01-02 21:10:00,,,,,,,2,4,5,Holyday,-4.716666666666389,0.0,15.383333333333612,294.5,Thursday,10,14,1
2025-01-02 21:20:00,,,,,,,2,4,5,Holyday,-4.733333333333055,0.0,15.266666666666945,294.0,Thursday,10,14,1
2025-01-02 21:30:00,,,,,,,2,4,5,Holyday,-4.749999999999722,0.0,15.150000000000277,293.5,Thursday,10,14,1
2025-01-02 21:40:00,,,,,,,2,4,5,Holyday,-4.7666666666663895,0.0,15.03333333333361,293.0,Thursday,10,14,1
2025-01-02 21:50:00,,,,,,,2,4,5,Holyday,-4.783333333333056,0.0,14.916666666666945,292.5,Thursday,10,14,1
2025-01-02 22:00:00,,,,,,,2,4,5,Holyday,-4.799999999999723,0.0,14.800000000000278,292.0,Thursday,10,14,1
2025-01-02 22:10:00,,,,,,,2,4,5,Holyday,-4.816666666666666,0.0,14.733333333333334,289.8333333333333,Thursday,10,14,1
2025-01-02 22:20:00,,,,,,,2,4,5,Holyday,-4.833333333333333,0.0,14.666666666666668,287.6666666666667,Thursday,10,14,1
2025-01-02 22:30:00,,,,,,,2,4,5,Holyday,-4.85,0.0,14.600000000000001,285.5,Thursday,10,14,1
2025-01-02 22:40:00,,,,,,,2,4,5,Holyday,-4.866666666666666,0.0,14.533333333333333,283.3333333333333,Thursday,10,14,1
2025-01-02 22:50:00,,,,,,,2,4,5,Holyday,-4.883333333333333,0.0,14.466666666666667,281.1666666666667,Thursday,10,14,1
2025-01-02 23:00:00,,,,,,,2,4,5,Holyday,-4.8999999999999995,0.0,14.4,279.0,Thursday,10,14,1
2025-01-02 23:10:00,,,,,,,2,4,5,Holyday,-4.933333333333056,0.0,14.466666666666667,277.3333333333333,Thursday,10,14,1
2025-01-02 23:20:00,,,,,,,2,4,5,Holyday,-4.96666666666639,0.0,14.533333333333333,275.6666666666667,Thursday,10,14,1
2025-01-02 23:30:00,,,,,,,2,4,5,Holyday,-4.999999999999723,0.0,14.6,274.0,Thursday,10,14,1
2025-01-02 23:40:00,,,,,,,2,4,5,Holyday,-5.033333333333056,0.0,14.666666666666668,272.3333333333333,Thursday,10,14,1
2025-01-02 23:50:00,,,,,,,2,4,5,Holyday,-5.066666666666389,0.0,14.733333333333334,270.6666666666667,Thursday,10,14,1
2025-01-03 00:00:00,,,,,,,2,4,5,Holyday,-5.0999999999997225,0.0,14.8,269.0,Friday,10,14,1
2025-01-03 00:10:00,,,,,,,2,4,5,Holyday,-5.1,0.0,14.433333333333334,267.5,Friday,10,14,1
2025-01-03 00:20:00,,,,,,,2,4,5,Holyday,-5.1,0.0,14.066666666666668,266.0,Friday,10,14,1
2025-01-03 00:30:00,,,,,,,2,4,5,Holyday,-5.1,0.0,13.700000000000001,264.5,Friday,10,14,1
2025-01-03 00:40:00,,,,,,,2,4,5,Holyday,-5.1,0.0,13.333333333333334,263.0,Friday,10,14,1
2025-01-03 00:50:00,,,,,,,2,4,5,Holyday,-5.1,0.0,12.966666666666667,261.5,Friday,10,14,1
2025-01-03 01:00:00,,,,,,,2,4,5,Holyday,-5.1,0.0,12.600000000000001,260.0,Friday,10,14,1
2025-01-03 01:10:00,,,,,,,2,4,5,Holyday,-5.166666666666666,0.0,13.133333333333333,262.0,Friday,10,14,1
2025-01-03 01:20:00,,,,,,,2,4,5,Holyday,-5.233333333333333,0.0,13.666666666666666,264.0,Friday,10,14,1
2025-01-03 01:30:00,,,,,,,2,4,5,Holyday,-5.3,0.0,14.2,266.0,Friday,10,14,1
2025-01-03 01:40:00,,,,,,,2,4,5,Holyday,-5.366666666666666,0.0,14.733333333333333,268.0,Friday,10,14,1
2025-01-03 01:50:00,,,,,,,2,4,5,Holyday,-5.433333333333333,0.0,15.266666666666666,270.0,Friday,10,14,1
2025-01-03 02:00:00,,,,,,,2,4,5,Holyday,-5.5,0.0,15.8,272.0,Friday,10,14,1
2025-01-03 02:10:00,,,,,,,2,4,5,Holyday,-5.566666666666666,0.0,15.333333333333334,271.3333333333333,Friday,10,14,1
2025-01-03 02:20:00,,,,,,,2,4,5,Holyday,-5.633333333333334,0.0,14.866666666666667,270.6666666666667,Friday,10,14,1
2025-01-03 02:30:00,,,,,,,2,4,5,Holyday,-5.7,0.0,14.4,270.0,Friday,10,14,1
2025-01-03 02:40:00,,,,,,,2,4,5,Holyday,-5.766666666666667,0.0,13.933333333333334,269.3333333333333,Friday,10,14,1
2025-01-03 02:50:00,,,,,,,2,4,5,Holyday,-5.833333333333333,0.0,13.466666666666667,268.6666666666667,Friday,10,14,1
2025-01-03 03:00:00,,,,,,,2,4,5,Holyday,-5.9,0.0,13.0,268.0,Friday,10,14,1
2025-01-03 03:10:00,,,,,,,2,4,5,Holyday,-5.916666666666389,0.0,13.233333333333333,265.3333333333333,Friday,10,14,1
2025-01-03 03:20:00,,,,,,,2,4,5,Holyday,-5.933333333333056,0.0,13.466666666666667,262.6666666666667,Friday,10,14,1
2025-01-03 03:30:00,,,,,,,2,4,5,Holyday,-5.949999999999722,0.0,13.7,260.0,Friday,10,14,1
2025-01-03 03:40:00,,,,,,,2,4,5,Holyday,-5.96666666666639,0.0,13.933333333333334,257.3333333333333,Friday,10,14,1
2025-01-03 03:50:00,,,,,,,2,4,5,Holyday,-5.983333333333056,0.0,14.166666666666666,254.66666666666666,Friday,10,14,1
2025-01-03 04:00:00,,,,,,,2,4,5,Holyday,-5.999999999999723,0.0,14.4,252.0,Friday,10,14,1
2025-01-03 04:10:00,,,,,,,2,4,5,Holyday,-6.049999999999722,0.0,14.033333333333333,251.16666666666666,Friday,10,14,1
2025-01-03 04:20:00,,,,,,,2,4,5,Holyday,-6.0999999999997225,0.0,13.666666666666668,250.33333333333334,Friday,10,14,1
2025-01-03 04:30:00,,,,,,,2,4,5,Holyday,-6.149999999999722,0.0,13.3,249.5,Friday,10,14,1
2025-01-03 04:40:00,,,,,,,2,4,5,Holyday,-6.199999999999722,0.0,12.933333333333334,248.66666666666666,Friday,10,14,1
2025-01-03 04:50:00,,,,,,,2,4,5,Holyday,-6.249999999999722,0.0,12.566666666666666,247.83333333333334,Friday,10,14,1
2025-01-03 05:00:00,,,,,,,2,4,5,Holyday,-6.299999999999722,0.0,12.2,247.0,Friday,10,14,1
2025-01-03 05:10:00,,,,,,,2,4,5,Holyday,-6.316666666666666,0.0,11.900000000000277,242.83333333333334,Friday,10,14,1
2025-01-03 05:20:00,,,,,,,2,4,5,Holyday,-6.333333333333333,0.0,11.600000000000277,238.66666666666666,Friday,10,14,1
2025-01-03 05:30:00,,,,,,,2,4,5,Holyday,-6.35,0.0,11.300000000000278,234.5,Friday,10,14,1
2025-01-03 05:40:00,,,,,,,2,4,5,Holyday,-6.366666666666666,0.0,11.000000000000277,230.33333333333334,Friday,10,14,1
2025-01-03 05:50:00,,,,,,,2,4,5,Holyday,-6.383333333333333,0.0,10.700000000000276,226.16666666666666,Friday,10,14,1
2025-01-03 06:00:00,,,,,,,2,4,5,Holyday,-6.3999999999999995,0.0,10.400000000000277,222.0,Friday,10,14,1
2025-01-03 06:10:00,,,,,,,2,4,5,Holyday,-6.433333333333056,0.0,10.466666666666667,219.66666666666666,Friday,10,14,1
2025-01-03 06:20:00,,,,,,,2,4,5,Holyday,-6.46666666666639,0.0,10.533333333333333,217.33333333333334,Friday,10,14,1
2025-01-03 06:30:00,,,,,,,2,4,5,Holyday,-6.499999999999723,0.0,10.6,215.0,Friday,10,14,1
2025-01-03 06:40:00,,,,,,,2,4,5,Holyday,-6.533333333333056,0.0,10.666666666666668,212.66666666666666,Friday,10,14,1
2025-01-03 06:50:00,,,,,,,2,4,5,Holyday,-6.566666666666389,0.0,10.733333333333334,210.33333333333334,Friday,10,14,1
2025-01-03 07:00:00,,,,,,,2,4,5,Holyday,-6.5999999999997225,0.0,10.8,208.0,Friday,10,14,1
2025-01-03 07:10:00,,,,,,,2,4,5,Holyday,-6.566666666666944,0.0,11.099999999999723,205.5,Friday,10,14,1
2025-01-03 07:20:00,,,,,,,2,4,5,Holyday,-6.53333333333361,0.0,11.399999999999723,203.0,Friday,10,14,1
2025-01-03 07:30:00,,,,,,,2,4,5,Holyday,-6.500000000000277,0.0,11.699999999999722,200.5,Friday,10,14,1
2025-01-03 07:40:00,,,,,,,2,4,5,Holyday,-6.466666666666944,0.0,11.999999999999723,198.0,Friday,10,14,1
2025-01-03 07:50:00,,,,,,,2,4,5,Holyday,-6.433333333333611,0.0,12.299999999999724,195.5,Friday,10,14,1
2025-01-03 08:00:00,,,,,,,2,4,5,Holyday,-6.4000000000002775,0.0,12.599999999999723,193.0,Friday,10,14,1
2025-01-03 08:10:00,,,,,,,2,4,5,Holyday,-6.283333333333334,0.0,12.416666666666945,195.0,Friday,10,14,1
2025-01-03 08:20:00,,,,,,,2,4,5,Holyday,-6.166666666666667,0.0,12.233333333333611,197.0,Friday,10,14,1
2025-01-03 08:30:00,,,,,,,2,4,5,Holyday,-6.050000000000001,0.0,12.050000000000278,199.0,Friday,10,14,1
