index,KTH Library,South-East Gallery,North Gallery,South Gallery,Ångdomen,Newton,Day of Year,Day of Week,Days Until Exam,Event,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,day,opening_hour,closing_hour,is_open
2025-01-03 01:00:00,,,,,,,3,5,4,Holyday,-4.5999999999997225,0.0,14.0,270.0,Friday,10,14,1
2025-01-03 01:10:00,,,,,,,3,5,4,Holyday,-4.633333333333333,0.0,14.133333333333333,270.5,Friday,10,14,1
2025-01-03 01:20:00,,,,,,,3,5,4,Holyday,-4.666666666666666,0.0,14.266666666666667,271.0,Friday,10,14,1
2025-01-03 01:30:00,,,,,,,3,5,4,Holyday,-4.699999999999999,0.0,14.4,271.5,Friday,10,14,1
2025-01-03 01:40:00,,,,,,,3,5,4,Holyday,-4.733333333333333,0.0,14.533333333333333,272.0,Friday,10,14,1
2025-01-03 01:50:00,,,,,,,3,5,4,Holyday,-4.766666666666667,0.0,14.666666666666666,272.5,Friday,10,14,1
2025-01-03 02:00:00,,,,,,,3,5,4,Holyday,-4.8,0.0,14.8,273.0,Friday,10,14,1
2025-01-03 02:10:00,,,,,,,3,5,4,Holyday,-4.866666666666666,0.0,14.666666666666668,272.5,Friday,10,14,1
2025-01-03 02:20:00,,,,,,,3,5,4,Holyday,-4.933333333333334,0.0,14.533333333333333,272.0,Friday,10,14,1
2025-01-03 02:30:00,,,,,,,3,5,4,Holyday,-5.0,0.0,14.4,271.5,Friday,10,14,1
2025-01-03 02:40:00,,,,,,,3,5,4,Holyday,-5.066666666666666,0.0,14.266666666666667,271.0,Friday,10,14,1
2025-01-03 02:50:00,,,,,,,3,5,4,Holyday,-5.133333333333333,0.0,14.133333333333335,270.5,Friday,10,14,1
2025-01-03 03:00:00,,,,,,,3,5,4,Holyday,-5.2,0.0,14.0,270.0,Friday,10,14,1
2025-01-03 03:10:00,,,,,,,3,5,4,Holyday,-5.233333333333333,0.0,14.0,267.8333333333333,Friday,10,14,1
2025-01-03 03:20:00,,,,,,,3,5,4,Holyday,-5.266666666666667,0.0,14.0,265.6666666666667,Friday,10,14,1
2025-01-03 03:30:00,,,,,,,3,5,4,Holyday,-5.3,0.0,14.0,263.5,Friday,10,14,1
2025-01-03 03:40:00,,,,,,,3,5,4,Holyday,-5.333333333333334,0.0,14.0,261.3333333333333,Friday,10,14,1
2025-01-03 03:50:00,,,,,,,3,5,4,Holyday,-5.366666666666667,0.0,14.0,259.1666666666667,Friday,10,14,1
2025-01-03 04:00:00,,,,,,,3,5,4,Holyday,-5.4,0.0,14.0,257.0,Friday,10,14,1
2025-01-03 04:10:00,,,,,,,3,5,4,Holyday,-5.433333333333056,0.0,13.883333333333612,257.1666666666667,Friday,10,14,1
2025-01-03 04:20:00,,,,,,,3,5,4,Holyday,-5.46666666666639,0.0,13.766666666666945,257.3333333333333,Friday,10,14,1
2025-01-03 04:30:00,,,,,,,3,5,4,Holyday,-5.499999999999723,0.0,13.650000000000277,257.5,Friday,10,14,1
2025-01-03 04:40:00,,,,,,,3,5,4,Holyday,-5.533333333333056,0.0,13.53333333333361,257.6666666666667,Friday,10,14,1
2025-01-03 04:50:00,,,,,,,3,5,4,Holyday,-5.566666666666389,0.0,13.416666666666945,257.8333333333333,Friday,10,14,1
