index,KTH Library,South-East Gallery,North Gallery,South Gallery,Ångdomen,Newton,Day of Year,Day of Week,Days Until Exam,Event,temperature_2m,precipitation,wind_speed_10m,wind_direction_10m,day,opening_hour,closing_hour,is_open
2024-12-30 17:00:00,,,,,,,365,1,8,Holyday,1.5,0.0,15.5,258.0,Monday,10,14,1
2024-12-30 17:10:00,,,,,,,365,1,8,Holyday,1.45,0.0,15.433333333333334,257.1666666666667,Monday,10,14,1
2024-12-30 17:20:00,,,,,,,365,1,8,Holyday,1.4,0.0,15.366666666666667,256.3333333333333,Monday,10,14,1
2024-12-30 17:30:00,,,,,,,365,1,8,Holyday,1.35,0.0,15.3,255.5,Monday,10,14,1
2024-12-30 17:40:00,,,,,,,365,1,8,Holyday,1.3,0.0,15.233333333333333,254.66666666666666,Monday,10,14,1
2024-12-30 17:50:00,,,,,,,365,1,8,Holyday,1.25,0.0,15.166666666666666,253.83333333333334,Monday,10,14,1
2024-12-30 18:00:00,,,,,,,365,1,8,Holyday,1.2,0.0,15.1,253.0,Monday,10,14,1
2024-12-30 18:10:00,,,,,,,365,1,8,Holyday,1.1833333333336111,0.0,14.800000000000278,253.16666666666666,Monday,10,14,1
2024-12-30 18:20:00,,,,,,,365,1,8,Holyday,1.1666666666669443,0.0,14.500000000000277,253.33333333333334,Monday,10,14,1
2024-12-30 18:30:00,,,,,,,365,1,8,Holyday,1.1500000000002777,0.0,14.200000000000278,253.5,Monday,10,14,1
2024-12-30 18:40:00,,,,,,,365,1,8,Holyday,1.133333333333611,0.0,13.900000000000277,253.66666666666666,Monday,10,14,1
2024-12-30 18:50:00,,,,,,,365,1,8,Holyday,1.1166666666669445,0.0,13.600000000000277,253.83333333333334,Monday,10,14,1
2024-12-30 19:00:00,,,,,,,365,1,8,Holyday,1.1000000000002776,0.0,13.300000000000278,254.0,Monday,10,14,1
2024-12-30 19:10:00,,,,,,,365,1,8,Holyday,1.0833333333333335,0.0,13.183333333333334,255.16666666666666,Monday,10,14,1
2024-12-30 19:20:00,,,,,,,365,1,8,Holyday,1.0666666666666667,0.0,13.066666666666668,256.3333333333333,Monday,10,14,1
2024-12-30 19:30:00,,,,,,,365,1,8,Holyday,1.05,0.0,12.950000000000001,257.5,Monday,10,14,1
2024-12-30 19:40:00,,,,,,,365,1,8,Holyday,1.0333333333333334,0.0,12.833333333333334,258.6666666666667,Monday,10,14,1
2024-12-30 19:50:00,,,,,,,365,1,8,Holyday,1.0166666666666668,0.0,12.716666666666667,259.8333333333333,Monday,10,14,1
2024-12-30 20:00:00,,,,,,,365,1,8,Holyday,1.0,0.0,12.600000000000001,261.0,Monday,10,14,1
2024-12-30 20:10:00,,,,,,,365,1,8,Holyday,0.9666666666669445,0.0,12.366666666666667,260.1666666666667,Monday,10,14,1
2024-12-30 20:20:00,,,,,,,365,1,8,Holyday,0.9333333333336111,0.0,12.133333333333333,259.3333333333333,Monday,10,14,1
